MSE,SSIM,Tag
82.61952039930556,0.5368391616304821,0
55.98410373263889,0.5468226619462496,1
83.5121799045139,0.4878933934411683,0
103.57069227430556,0.5849208951223713,1
81.23790147569444,0.5469854025687485,0
56.20477973090278,0.5628202570466707,1
79.68025716145833,0.5962267660123298,0
83.82378472222223,0.5459680273600065,0
61.16997612847222,0.5050351657263406,1
107.36046006944444,0.5864957964353896,1
54.58943684895834,0.5559081852107157,1
57.18798828125,0.554508402185953,1
60.62443033854166,0.5540259485686736,1
75.1193576388889,0.6385763003932811,0
58.87348090277778,0.4994232663637647,1
81.0910373263889,0.557720694617075,0
82.9756130642361,0.5055480839360182,0
81.1396213107639,0.5672244614451775,0
51.332139756944436,0.5658430158359438,1
80.112060546875,0.5687385624603656,0
102.25230577256944,0.5719633119318484,1
66.10555013020833,0.6158542036540386,1
78.4794650607639,0.6018749081547269,0
54.002061631944436,0.574181054131631,1
91.68302408854169,0.2730872979317569,0
52.612060546875,0.5862229147885812,1
51.18796115451389,0.5922072493538667,1
80.1806640625,0.6357326582598982,0
79.26212565104167,0.5953448359734334,1
52.07123480902778,0.5866375273332379,1
66.0883517795139,0.6027224515744823,1
51.083984375,0.6015098982307816,1
59.66878255208334,0.5664471630605888,1
56.981689453125,0.5734420254877366,1
79.09632703993056,0.6239848866737797,0
86.21421983506944,0.558348087484805,1
78.1452907986111,0.5938242498502277,0
87.29131401909723,0.3725484910280563,0
51.81396484375,0.5786662543963439,0
55.296875,0.5662792143943226,1
81.6376681857639,0.5992917387594214,0
52.10294596354166,0.5856770979409452,1
55.47922092013889,0.6268791876297409,1
85.1293674045139,0.3153564986083711,0
54.56136067708334,0.5767441705942135,1
52.64645724826389,0.5922077924002273,1
48.173448350694436,0.5931008079827965,1
109.85340711805556,0.3581720366769705,1
86.615966796875,0.3299712458430317,1
51.6826171875,0.5844231866380512,1
52.12698025173611,0.5848282968370127,1
81.2004123263889,0.5371448462695518,0
52.27438693576389,0.5669116033316527,1
53.84684244791666,0.5679251690796412,1
92.1123046875,0.2291424230663584,1
52.52840169270834,0.5778416225991154,1
49.453477647569436,0.5891652158931555,1
79.65440538194444,0.6494649448873859,0
77.04182942708333,0.6484745855489281,0
108.91493055555556,0.3838131784960391,1
52.90326605902778,0.5746989404024891,1
77.68744574652777,0.6256890960275637,0
63.86279296875,0.5017977551846706,0
90.683837890625,0.6020235131729322,1
